train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 161/1000, train: loss=0.0039, val: psnr=40.7255, 4.3m 11.4h/71.0h
epoch 162/1000, train: loss=0.0039, val: psnr=40.7508, 4.3m 11.5h/71.0h
epoch 163/1000, train: loss=0.0038, val: psnr=40.2366, 4.3m 11.6h/71.0h
epoch 164/1000, train: loss=0.0038, val: psnr=40.4780, 4.3m 11.6h/71.0h
epoch 165/1000, train: loss=0.0038, val: psnr=40.4602, 4.2m 11.7h/71.0h
epoch 166/1000, train: loss=0.0039, val: psnr=40.7807, 4.2m 11.8h/71.0h
epoch 167/1000, train: loss=0.0038, val: psnr=40.9492, 4.2m 11.9h/71.0h
epoch 168/1000, train: loss=0.0038, val: psnr=40.6833, 4.2m 11.9h/71.0h
epoch 169/1000, train: loss=0.0038, val: psnr=40.8895, 4.2m 12.0h/71.0h
epoch 170/1000, train: loss=0.0038, val: psnr=40.8623, 4.2m 12.1h/71.0h
epoch 171/1000, train: loss=0.0038, val: psnr=40.7379, 4.2m 12.1h/71.0h
epoch 172/1000, train: loss=0.0038, val: psnr=41.0689, 4.2m 12.2h/71.0h
epoch 173/1000, train: loss=0.0038, val: psnr=40.6996, 4.2m 12.3h/71.0h
epoch 174/1000, train: loss=0.0038, val: psnr=40.9542, 4.2m 12.3h/71.0h
epoch 175/1000, train: loss=0.0038, val: psnr=40.5955, 4.2m 12.4h/70.9h
epoch 176/1000, train: loss=0.0038, val: psnr=40.5031, 4.2m 12.5h/70.9h
epoch 177/1000, train: loss=0.0038, val: psnr=40.3750, 4.2m 12.6h/70.9h
epoch 178/1000, train: loss=0.0038, val: psnr=40.4743, 4.2m 12.6h/70.9h
epoch 179/1000, train: loss=0.0038, val: psnr=40.5126, 4.2m 12.7h/70.9h
epoch 180/1000, train: loss=0.0038, val: psnr=40.9826, 4.2m 12.8h/70.9h
epoch 181/1000, train: loss=0.0038, val: psnr=40.3478, 4.2m 12.8h/70.9h
epoch 182/1000, train: loss=0.0038, val: psnr=40.6552, 4.2m 12.9h/70.9h
epoch 183/1000, train: loss=0.0038, val: psnr=40.8711, 4.2m 13.0h/70.9h
